spacing,radius,rho,bin,nz,ny,nx,solid_angle_weight,g,total_area_rel_err,closure_residual
1x1x1,48,48,143,-0.494791666667,0.330651685357,0.803648349446,0.00524,1.10279302814,0.0857443809509,1.34972538257e-07
1x1x1,48,48,144,-0.505208333333,0.296974786917,-0.810290389839,0.005245,1.10572868536,0.0857443809509,1.34972538257e-07
1x1x1,48,48,145,-0.515625,-0.760832843947,0.394035839672,0.00525,1.08594946678,0.0857443809509,1.34972538257e-07
1x1x1,48,48,146,-0.526041666667,0.821046080035,0.221728436132,0.0052325,1.11077615692,0.0857443809509,1.34972538257e-07
1x1x1,48,48,147,-0.536458333333,-0.452138867822,-0.712588872213,0.0052475,1.06893643473,0.0857443809509,1.34972538257e-07
1x1x1,48,48,148,-0.546875,-0.146776923158,0.824247698937,0.00524,1.08765978856,0.0857443809509,1.34972538257e-07
1x1x1,48,48,149,-0.557291666667,0.659521393673,-0.504437835171,0.0052325,1.06451653886,0.0857443809509,1.34972538257e-07
1x1x1,48,48,150,-0.567708333333,-0.819994226452,-0.0729158202926,0.0052375,1.05785795027,0.0857443809509,1.34972538257e-07
1x1x1,48,48,151,-0.578125,0.550471860921,0.602289145435,0.0052325,1.04576520947,0.0857443809509,1.34972538257e-07
1x1x1,48,48,152,-0.588541666667,0.000931038014913,-0.808466350422,0.005225,1.06105059646,0.0857443809509,1.34972538257e-07
1x1x1,48,48,153,-0.598958333333,-0.541598879655,0.589847072119,0.00523,1.03443392449,0.0857443809509,1.34972538257e-07
1x1x1,48,48,154,-0.609375,0.789925544007,-0.0684086566171,0.005215,1.05598004577,0.0857443809509,1.34972538257e-07
1x1x1,48,48,155,-0.619791666667,-0.622240912109,-0.47819926519,0.005215,1.04468874333,0.0857443809509,1.34972538257e-07
1x1x1,48,48,156,-0.630208333333,0.134358847893,0.764712466611,0.00521,1.05419741949,0.0857443809509,1.34972538257e-07
1x1x1,48,48,157,-0.640625,0.412874559906,-0.647405751563,0.0051975,1.06117889458,0.0857443809509,1.34972538257e-07
1x1x1,48,48,158,-0.651041666667,-0.73324473465,0.196206287799,0.0051875,1.06553578497,0.0857443809509,1.34972538257e-07
1x1x1,48,48,159,-0.661458333333,0.665171752321,0.34643818089,0.0051675,1.0658960675,0.0857443809509,1.34972538257e-07
1x1x1,48,48,160,-0.671875,-0.253275186776,-0.696014126393,0.005145,1.07641377401,0.0857443809509,1.34972538257e-07
1x1x1,48,48,161,-0.682291666667,-0.279726327956,0.675448934447,0.0051325,1.06732999904,0.0857443809509,1.34972538257e-07
1x1x1,48,48,162,-0.692708333333,0.653583307642,-0.30493282031,0.0051275,1.06883469357,0.0857443809509,1.34972538257e-07
1x1x1,48,48,163,-0.703125,-0.678228393358,-0.213591855692,0.00511,1.06885355427,0.0857443809509,1.34972538257e-07
1x1x1,48,48,164,-0.713541666667,0.350594254188,0.606582194645,0.0051,1.07747499859,0.0857443809509,1.34972538257e-07
1x1x1,48,48,165,-0.723958333333,0.148898648324,-0.673582603787,0.0051275,1.04619830879,0.0857443809509,1.34972538257e-07
1x1x1,48,48,166,-0.734375,-0.555704111595,0.389725928996,0.0051175,1.08280700442,0.0857443809509,1.34972538257e-07
1x1x1,48,48,167,-0.744791666667,0.661664725655,0.0865168427988,0.00515,1.03186464412,0.0857443809509,1.34972538257e-07
1x1x1,48,48,168,-0.755208333333,-0.421847741447,-0.501701959633,0.005165,1.08411494472,0.0857443809509,1.34972538257e-07
1x1x1,48,48,169,-0.765625,-0.0273193919723,0.642706783998,0.005205,1.0384168884,0.0857443809509,1.34972538257e-07
1x1x1,48,48,170,-0.776041666667,0.445384705447,-0.446533084722,0.00522,1.08941256964,0.0857443809509,1.34972538257e-07
1x1x1,48,48,171,-0.786458333333,-0.617016512538,0.0278192952142,0.0052425,1.05354578974,0.0857443809509,1.34972538257e-07
1x1x1,48,48,172,-0.796875,0.463406001299,0.387614644118,0.00528,1.10907511813,0.0857443809509,1.34972538257e-07
1x1x1,48,48,173,-0.807291666667,-0.0780214718032,-0.584972490694,0.0052975,1.06274202461,0.0857443809509,1.34972538257e-07
1x1x1,48,48,174,-0.817708333333,-0.329306139322,0.472134036267,0.005325,1.12071408838,0.0857443809509,1.34972538257e-07
1x1x1,48,48,175,-0.828125,0.547016886404,-0.122398980239,0.005335,1.095545336,0.0857443809509,1.34972538257e-07
